
********* 1 numero epoca corrente *********

Evaluator All User
CUTOFF: 1 - ROC_AUC: 0.2120861, PRECISION: 0.2120861, PRECISION_RECALL_MIN_DEN: 0.2120861, RECALL: 0.2120861, MAP: 0.2120861, MRR: 0.2120861, NDCG: 0.2120861, F1: 0.2120861, HIT_RATE: 0.2120861, ARHR: 0.2120861, NOVELTY: 0.0027528, AVERAGE_POPULARITY: 0.3208708, DIVERSITY_MEAN_INTER_LIST: 0.9982607, DIVERSITY_HERFINDAHL: 0.9980954, COVERAGE_ITEM: 0.3648138, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1728790, SHANNON_ENTROPY: 9.6694570, 
CUTOFF: 2 - ROC_AUC: 0.2120861, PRECISION: 0.1687914, PRECISION_RECALL_MIN_DEN: 0.3375828, RECALL: 0.3375828, MAP: 0.2748344, MRR: 0.2748344, NDCG: 0.2912657, F1: 0.2250552, HIT_RATE: 0.3375828, ARHR: 0.2748344, NOVELTY: 0.0055819, AVERAGE_POPULARITY: 0.2950301, DIVERSITY_MEAN_INTER_LIST: 0.9972294, DIVERSITY_HERFINDAHL: 0.9985322, COVERAGE_ITEM: 0.4827307, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2136067, SHANNON_ENTROPY: 10.0058973, 
CUTOFF: 3 - ROC_AUC: 0.2748344, PRECISION: 0.1419426, PRECISION_RECALL_MIN_DEN: 0.4258278, RECALL: 0.4258278, MAP: 0.3042494, MRR: 0.3042494, NDCG: 0.3353882, F1: 0.2129139, HIT_RATE: 0.4258278, ARHR: 0.3042494, NOVELTY: 0.0084576, AVERAGE_POPULARITY: 0.2774002, DIVERSITY_MEAN_INTER_LIST: 0.9964238, DIVERSITY_HERFINDAHL: 0.9987530, COVERAGE_ITEM: 0.5536967, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2412598, SHANNON_ENTROPY: 10.1970294, 
CUTOFF: 4 - ROC_AUC: 0.3251656, PRECISION: 0.1235927, PRECISION_RECALL_MIN_DEN: 0.4943709, RECALL: 0.4943709, MAP: 0.3213852, MRR: 0.3213852, NDCG: 0.3649081, F1: 0.1977483, HIT_RATE: 0.4943709, ARHR: 0.3213852, NOVELTY: 0.0113766, AVERAGE_POPULARITY: 0.2631779, DIVERSITY_MEAN_INTER_LIST: 0.9957489, DIVERSITY_HERFINDAHL: 0.9988960, COVERAGE_ITEM: 0.6092822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2652029, SHANNON_ENTROPY: 10.3411859, 
CUTOFF: 5 - ROC_AUC: 0.3674669, PRECISION: 0.1092715, PRECISION_RECALL_MIN_DEN: 0.5463576, RECALL: 0.5463576, MAP: 0.3317826, MRR: 0.3317826, NDCG: 0.3850193, F1: 0.1821192, HIT_RATE: 0.5463576, ARHR: 0.3317826, NOVELTY: 0.0143089, AVERAGE_POPULARITY: 0.2534219, DIVERSITY_MEAN_INTER_LIST: 0.9950877, DIVERSITY_HERFINDAHL: 0.9989846, COVERAGE_ITEM: 0.6513761, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2822925, SHANNON_ENTROPY: 10.4368195, 
CUTOFF: 6 - ROC_AUC: 0.4032450, PRECISION: 0.0985375, PRECISION_RECALL_MIN_DEN: 0.5912252, RECALL: 0.5912252, MAP: 0.3392605, MRR: 0.3392605, NDCG: 0.4010015, F1: 0.1689215, HIT_RATE: 0.5912252, ARHR: 0.3392605, NOVELTY: 0.0172708, AVERAGE_POPULARITY: 0.2445926, DIVERSITY_MEAN_INTER_LIST: 0.9945167, DIVERSITY_HERFINDAHL: 0.9990587, COVERAGE_ITEM: 0.6824069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2982918, SHANNON_ENTROPY: 10.5200686, 
CUTOFF: 7 - ROC_AUC: 0.4345751, PRECISION: 0.0899007, PRECISION_RECALL_MIN_DEN: 0.6293046, RECALL: 0.6293046, MAP: 0.3447004, MRR: 0.3447004, NDCG: 0.4136946, F1: 0.1573262, HIT_RATE: 0.6293046, ARHR: 0.3447004, NOVELTY: 0.0202531, AVERAGE_POPULARITY: 0.2367941, DIVERSITY_MEAN_INTER_LIST: 0.9939729, DIVERSITY_HERFINDAHL: 0.9991155, COVERAGE_ITEM: 0.7112790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3118217, SHANNON_ENTROPY: 10.5869415, 
CUTOFF: 8 - ROC_AUC: 0.4623936, PRECISION: 0.0822848, PRECISION_RECALL_MIN_DEN: 0.6582781, RECALL: 0.6582781, MAP: 0.3483221, MRR: 0.3483221, NDCG: 0.4228347, F1: 0.1462840, HIT_RATE: 0.6582781, ARHR: 0.3483221, NOVELTY: 0.0232560, AVERAGE_POPULARITY: 0.2297386, DIVERSITY_MEAN_INTER_LIST: 0.9934828, DIVERSITY_HERFINDAHL: 0.9991648, COVERAGE_ITEM: 0.7325958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3247508, SHANNON_ENTROPY: 10.6469030, 
CUTOFF: 9 - ROC_AUC: 0.4868791, PRECISION: 0.0763061, PRECISION_RECALL_MIN_DEN: 0.6867550, RECALL: 0.6867550, MAP: 0.3514862, MRR: 0.3514862, NDCG: 0.4314071, F1: 0.1373510, HIT_RATE: 0.6867550, ARHR: 0.3514862, NOVELTY: 0.0262859, AVERAGE_POPULARITY: 0.2232877, DIVERSITY_MEAN_INTER_LIST: 0.9930246, DIVERSITY_HERFINDAHL: 0.9992067, COVERAGE_ITEM: 0.7520237, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3376832, SHANNON_ENTROPY: 10.7031671, 
CUTOFF: 10 - ROC_AUC: 0.5090876, PRECISION: 0.0707947, PRECISION_RECALL_MIN_DEN: 0.7079470, RECALL: 0.7079470, MAP: 0.3536054, MRR: 0.3536054, NDCG: 0.4375330, F1: 0.1287176, HIT_RATE: 0.7079470, ARHR: 0.3536054, NOVELTY: 0.0293309, AVERAGE_POPULARITY: 0.2173148, DIVERSITY_MEAN_INTER_LIST: 0.9926024, DIVERSITY_HERFINDAHL: 0.9992438, COVERAGE_ITEM: 0.7671344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3496662, SHANNON_ENTROPY: 10.7529138, 

