
********* 1 numero epoca corrente *********

Evaluator All User
CUTOFF: 1 - ROC_AUC: 0.0110927, PRECISION: 0.0110927, PRECISION_RECALL_MIN_DEN: 0.0110927, RECALL: 0.0110927, MAP: 0.0110927, MRR: 0.0110927, NDCG: 0.0110927, F1: 0.0110927, HIT_RATE: 0.0110927, ARHR: 0.0110927, NOVELTY: 0.0036331, AVERAGE_POPULARITY: 0.0729668, DIVERSITY_MEAN_INTER_LIST: 0.9994651, DIVERSITY_HERFINDAHL: 0.9992996, COVERAGE_ITEM: 0.5779817, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3688014, SHANNON_ENTROPY: 10.7504980, 
CUTOFF: 2 - ROC_AUC: 0.0110927, PRECISION: 0.0108444, PRECISION_RECALL_MIN_DEN: 0.0216887, RECALL: 0.0216887, MAP: 0.0163907, MRR: 0.0163907, NDCG: 0.0177781, F1: 0.0144592, HIT_RATE: 0.0216887, ARHR: 0.0163907, NOVELTY: 0.0072665, AVERAGE_POPULARITY: 0.0719744, DIVERSITY_MEAN_INTER_LIST: 0.9989696, DIVERSITY_HERFINDAHL: 0.9994021, COVERAGE_ITEM: 0.7048030, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4254454, SHANNON_ENTROPY: 10.9815830, 
CUTOFF: 3 - ROC_AUC: 0.0163907, PRECISION: 0.0104857, PRECISION_RECALL_MIN_DEN: 0.0314570, RECALL: 0.0314570, MAP: 0.0196468, MRR: 0.0196468, NDCG: 0.0226622, F1: 0.0157285, HIT_RATE: 0.0314570, ARHR: 0.0196468, NOVELTY: 0.0109121, AVERAGE_POPULARITY: 0.0724957, DIVERSITY_MEAN_INTER_LIST: 0.9985628, DIVERSITY_HERFINDAHL: 0.9994658, COVERAGE_ITEM: 0.7644360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4632856, SHANNON_ENTROPY: 11.1047114, 
CUTOFF: 4 - ROC_AUC: 0.0214128, PRECISION: 0.0103891, PRECISION_RECALL_MIN_DEN: 0.0415563, RECALL: 0.0415563, MAP: 0.0221716, MRR: 0.0221716, NDCG: 0.0270117, F1: 0.0166225, HIT_RATE: 0.0415563, ARHR: 0.0221716, NOVELTY: 0.0145327, AVERAGE_POPULARITY: 0.0730832, DIVERSITY_MEAN_INTER_LIST: 0.9980398, DIVERSITY_HERFINDAHL: 0.9994686, COVERAGE_ITEM: 0.7876417, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4647565, SHANNON_ENTROPY: 11.1160444, 
CUTOFF: 5 - ROC_AUC: 0.0264487, PRECISION: 0.0106291, PRECISION_RECALL_MIN_DEN: 0.0531457, RECALL: 0.0531457, MAP: 0.0244895, MRR: 0.0244895, NDCG: 0.0314951, F1: 0.0177152, HIT_RATE: 0.0531457, ARHR: 0.0244895, NOVELTY: 0.0181457, AVERAGE_POPULARITY: 0.0736198, DIVERSITY_MEAN_INTER_LIST: 0.9974843, DIVERSITY_HERFINDAHL: 0.9994638, COVERAGE_ITEM: 0.7995143, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4608927, SHANNON_ENTROPY: 11.1094279, 
CUTOFF: 6 - ROC_AUC: 0.0317881, PRECISION: 0.0108168, PRECISION_RECALL_MIN_DEN: 0.0649007, RECALL: 0.0649007, MAP: 0.0264487, MRR: 0.0264487, NDCG: 0.0356823, F1: 0.0185430, HIT_RATE: 0.0649007, ARHR: 0.0264487, NOVELTY: 0.0217791, AVERAGE_POPULARITY: 0.0735735, DIVERSITY_MEAN_INTER_LIST: 0.9969472, DIVERSITY_HERFINDAHL: 0.9994637, COVERAGE_ITEM: 0.8124663, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4611695, SHANNON_ENTROPY: 11.1133248, 
CUTOFF: 7 - ROC_AUC: 0.0373068, PRECISION: 0.0103832, PRECISION_RECALL_MIN_DEN: 0.0726821, RECALL: 0.0726821, MAP: 0.0275603, MRR: 0.0275603, NDCG: 0.0382761, F1: 0.0181705, HIT_RATE: 0.0726821, ARHR: 0.0275603, NOVELTY: 0.0254013, AVERAGE_POPULARITY: 0.0736567, DIVERSITY_MEAN_INTER_LIST: 0.9964460, DIVERSITY_HERFINDAHL: 0.9994687, COVERAGE_ITEM: 0.8216406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4637123, SHANNON_ENTROPY: 11.1213382, 
CUTOFF: 8 - ROC_AUC: 0.0423605, PRECISION: 0.0105546, PRECISION_RECALL_MIN_DEN: 0.0844371, RECALL: 0.0844371, MAP: 0.0290297, MRR: 0.0290297, NDCG: 0.0419844, F1: 0.0187638, HIT_RATE: 0.0844371, ARHR: 0.0290297, NOVELTY: 0.0290229, AVERAGE_POPULARITY: 0.0739276, DIVERSITY_MEAN_INTER_LIST: 0.9959443, DIVERSITY_HERFINDAHL: 0.9994724, COVERAGE_ITEM: 0.8270372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4660209, SHANNON_ENTROPY: 11.1284083, 
CUTOFF: 9 - ROC_AUC: 0.0476200, PRECISION: 0.0106696, PRECISION_RECALL_MIN_DEN: 0.0960265, RECALL: 0.0960265, MAP: 0.0303174, MRR: 0.0303174, NDCG: 0.0454732, F1: 0.0192053, HIT_RATE: 0.0960265, ARHR: 0.0303174, NOVELTY: 0.0326551, AVERAGE_POPULARITY: 0.0736032, DIVERSITY_MEAN_INTER_LIST: 0.9955856, DIVERSITY_HERFINDAHL: 0.9994912, COVERAGE_ITEM: 0.8372909, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4795577, SHANNON_ENTROPY: 11.1616509, 
CUTOFF: 10 - ROC_AUC: 0.0529985, PRECISION: 0.0104967, PRECISION_RECALL_MIN_DEN: 0.1049669, RECALL: 0.1049669, MAP: 0.0312114, MRR: 0.0312114, NDCG: 0.0480575, F1: 0.0190849, HIT_RATE: 0.1049669, ARHR: 0.0312114, NOVELTY: 0.0362905, AVERAGE_POPULARITY: 0.0735482, DIVERSITY_MEAN_INTER_LIST: 0.9952818, DIVERSITY_HERFINDAHL: 0.9995117, COVERAGE_ITEM: 0.8434970, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4975052, SHANNON_ENTROPY: 11.2038815, 

